Palabra	Lema	POS	Feats	Significado	Glosa	1267	925	1060
Nacho	Nacho	PROPN		Nacho				
María	María	PROPN		María				
Julio	Julio	PROPN		Julio				
tumi	tumi	NOUN		dinero				
acha	acha	NOUN		hacha				
chida		NOUN		mi papá				
chidan		NOUN		mi papá				
chete		NOUN		estómago				
nutbii		NOUN		frutas				
santië		NOUN		presidente				
ñaa		NOUN		vela				
ñoʼó		NOUN		terreno				
ñoó		NOUN		lumbre				
pañu		NOUN		rebozo				
nunyadi		NOUN		refresco				
chikuʼu		NOUN		mi abuelita				
yada		NOUN		perro				
noʼoo		NOUN		bala				
betee		NOUN		tamal				
koon		DET		ese				
koon		NOUN		señora				
skuela	skuela	NOUN		escuela				
tòò		ADV		ahí				
no	no	ADP		en	LOC			
nuku	nuku	ADP		con	con			
chi	chi	SCONJ		que	COMPL			
tochi	tochi	SCONJ		cuando	cuando			
ñeʼe	ñeʼe	NOUN	NounType=Relat	de él	base-POSS.3SG			
ñeʼë	ñeʼe	NOUN	NounType=Relat	de mí	base-POSS.1SG			
ñëʼed	ñeʼe	NOUN	NounType=Relat	de ti	base-POSS.2SG			
ñeʼed	ñeʼe	NOUN	NounType=Relat	de ti	base-POSS.2SG			
ñeʼën	ñeʼe	NOUN	NounType=Relat	de mí	base-POSS.1SG			
ñeʼeñ	ñeʼe	NOUN	NounType=Relat	de él	base-POSS.3SG.HUM			
ñëʼeñ	ñeʼe	NOUN	NounType=Relat	de él	base-POSS.3SG.HUM			
ñeʼëñ	ñeʼe	NOUN	NounType=Relat	de él	base-POSS.3SG.HUM			
ñëʼes	ñeʼe	NOUN	NounType=Relat	de él	base-POSS.3SG.MSC			
ñeʼës	ñeʼe	NOUN	NounType=Relat	de él	base-POSS.3SG.MSC			
ñeeta	ñeʼe	NOUN	NounType=Relat	de ella	base-POSS.3SG.FEM			
ñëta	ñeʼe	NOUN	NounType=Relat	de ella	base-POSS.3SG.FEM			
jínyinii		VERB	VerbForm=Fin	sembrar	?-sembrar-?			
jiinuy		VERB	VerbForm=Fin	siembra	?-sembrar-3SG.HUM			
jínuñ		VERB	VerbForm=Fin	siembra	?-sembrar-?			
jínus		VERB	VerbForm=Fin	siembra	?-sembrar-3SG.MSC			
nichis		VERB	VerbForm=Fin	vio	?-ver-3SG.MSC			
nichiy		VERB	VerbForm=Fin	vio	?-ver-3SG.HUM			
nichita		VERB	VerbForm=Fin	vio	?-ver-3SG.FEM			
jinus		VERB	VerbForm=Fin	usa	?-usar-3SG.MSC			
nood	kaʼan	VERB	VerbForm=Fin	llegaste	?-?-2SG			
noʼó	kaʼan	VERB	VerbForm=Fin	voy	?-?-1SG			
chúʼüu	kaʼan	VERB	VerbForm=Fin	fuimos	COM-ir-1PL			
cheʼë	kaʼan	VERB	VerbForm=Fin	fui	COM-ir-1SG			
kuʼes	kaʼan	VERB	VerbForm=Fin	fue	HAB-ir-3SG.MSC			
cheés	kaʼan	VERB	VerbForm=Fin	fue	COM-ir-3SG.MSC			
cheʼéy	kaʼan	VERB	VerbForm=Fin	fue	COM-ir-3SG.HUM			
kueʼëñ	kaʼan	VERB	VerbForm=Fin	fue	HAB-ir-?			
cheʼeñ	kaʼan	VERB	VerbForm=Fin	fue	COM-ir-?			
kuey	kaʼan	VERB	VerbForm=Fin	fue	HAB-ir-3SG.HUM			
koʼöd	kaʼan	VERB	VerbForm=Fin	irás	POT-ir-2SG			
koʼo	kaʼan	VERB	VerbForm=Fin	iré	POT-ir-1SG			
koʼö	kaʼan	VERB	VerbForm=Fin	iré	POT-ir-1SG			
cheʼed	kaʼan	VERB	VerbForm=Fin	fuiste	COM-ir-2SG			
jeʼëñ	kaʼan	VERB	VerbForm=Fin	va	?-ir-?			
koʼoñ	kaʼan	VERB	VerbForm=Fin	irá	POT-ir-?			
jeʼëta	kaʼan	VERB	VerbForm=Fin	van	?-ir-3SG.FEM			
jeʼen	kaʼan	VERB	VerbForm=Fin	vamos	?-ir-1PL			
jeʼeñ	kaʼan	VERB	VerbForm=Fin	va	?-ir-?			
jeʼé	kaʼan	VERB	VerbForm=Fin	voy	?-ir-1SG			
kueʼeñ	kaʼan	VERB	VerbForm=Fin	fue	?-ir-?			
kueʼëd	kaʼan	VERB	VerbForm=Fin	vé	?-ir-2SG			
jee	cheʼe	VERB	VerbForm=Fin	como	?-comer-1SG			
jeʼet	cheʼe	VERB	VerbForm=Fin	come	?-comer-3SG 			
jeét	cheʼe	VERB	VerbForm=Fin	come	?-comer-3SG 			
jeéta	cheʼe	VERB	VerbForm=Fin	come	?-comer-3SG.FEM			
jeéy	cheʼe	VERB	VerbForm=Fin	come	?-comer-3SG.HUM			
cheʼet	cheʼe	VERB	VerbForm=Fin	comio	?-comer-3SG.AML			
cheʼe	cheʼe	VERB	VerbForm=Fin	como	?-comer-1SG			
cheʼes	cheʼe	VERB	VerbForm=Fin	come	?-comer-3SG.MSC			
jeeya	cheʼe	VERB	VerbForm=Fin	come	?-comer-3SG.HUM			
cheed	cheʼe	VERB	VerbForm=Fin	come	?-comer-2SG			
cheeta	cheʼe	VERB	VerbForm=Fin	come	?-comer-3SG.FEM			
chuʼuu	cheʼe	VERB	VerbForm=Fin	comemos	?-comer-1PL			
cheʼey	cheʼe	VERB	VerbForm=Fin	come	?-comer-3SG.HUM			
jeʼe	cheʼe	VERB	VerbForm=Fin	estoy.comiendo	?-comer-1SG			
chúʼüu	kaʼan	VERB	VerbForm=Fin	fuimos	?-ir-1PL			
chuʼuu	cheʼe	VERB	VerbForm=Fin	comemos	?-comer-1PL			
neʼë		VERB	VerbForm=Fin	quiero	?-querer-1SG			
nee		VERB	VerbForm=Fin	quería	?-querer-?			
neʼé		VERB	VerbForm=Fin	quiero	?-querer-1SG			
neé		VERB	VerbForm=Fin	quiere	?-querer-?			
neʼe		VERB	VerbForm=Fin	quiere	?-querer-?			
neʼes		VERB	VerbForm=Fin	quiere	?-querer-3SG.MSC			
neʼeñ		VERB	VerbForm=Fin	quiere	?-querer-3SG.HUM			
ñeʼen		VERB	VerbForm=Fin	quiere	?-querer-?			
nikus		VERB	VerbForm=Fin	vendio	?-vender-3SG.MSC			
jiniku		VERB	VerbForm=Fin	vendo	?-vender-1SG			
jinikuy		VERB	VerbForm=Fin	vende	?-vender-3SG.HUM			
jiníkuy		VERB	VerbForm=Fin	vendio	?-vender-3SG.HUM			
jinuy		VERB	VerbForm=Fin	pone	?-poner-3SG.HUM			
jiíy		VERB	VerbForm=Fin	toma	?-tomar-3SG.HUM			
jiì		VERB	VerbForm=Fin	tomo	?-tomar-1SG			
kuʼu		VERB	VerbForm=Fin	tomo	?-tomar-1SG			
jinoo		VERB	VerbForm=Fin	sale	?-salir-?			
jiknó		VERB	VerbForm=Fin	salen	?-salir-?			
jino		VERB	VerbForm=Fin	sale	?-salir-?			
jinó		VERB	VerbForm=Fin	sale	?-salir-?			
kano		VERB	VerbForm=Fin	salieron	?-salir-?			
kanó		VERB	VerbForm=Fin	salí	?-salir-1SG			
kanoo		VERB	VerbForm=Fin	salió	?-salir-?			
ted		VERB		dame	?-dar-2SG			
joʼoy		VERB	VerbForm=Fin	da	?-dar-?			
chika		VERB	VerbForm=Fin	corté	?-cortar-?			
kàkad		VERB	VerbForm=Fin	cortar	?-cortar-2SG			
kaaka		VERB	VerbForm=Fin	cortar	?-cortar-?			
kua	kua	VERB	VerbForm=Fin	comprar	IRR-comprar-1SG			
kaa	kua	VERB	VerbForm=Fin	comprar	COM-comprar-1SG			
kuaa	kua	VERB	VerbForm=Fin	comprar	IRR-comprar-1SG			
káta	kua	VERB	VerbForm=Fin	compró	COM-comprar-3SG.FEM			
kaá	kua	VERB	VerbForm=Fin	compré	COM-comprar-1SG			
ká	kua	VERB	VerbForm=Fin	comprar	COM-comprar-1SG			
kay	kua	VERB	VerbForm=Fin	comprar	COM-comprar-3SG.HUM			
kad	kua	VERB	VerbForm=Fin	comprar	COM-comprar-2SG			
kuad	kua	VERB	VerbForm=Fin	comprar	IRR-comprar-2SG			
kúad	kua	VERB	VerbForm=Fin	comprar	IRR-comprar-2SG			
jaata	kua	VERB	VerbForm=Fin	compra	PROG-comprar-3SG.FEM			
koʼoy		VERB	VerbForm=Fin	pegaron	?-pegar-?			
jinuu		VERB	VerbForm=Fin	pongo	?-poner-1SG			
jinikuta		VERB	VerbForm=Fin	vende	?-vender-3SG.FEM			
jitubita		VERB	VerbForm=Fin	ocupa	?-ocupar-3SG.FEM			
nguas		VERB	VerbForm=Fin	traer	?-traer-3SG.MSC			
chikata		VERB	VerbForm=Fin	pidió	?-pedir-3SG.FEM			
chiis		VERB	VerbForm=Fin	puso	?-poner-3SG.MSC			
chëe		VERB	VerbForm=Fin	aprendí	?-aprender-1SG			
nanáa		VERB	VerbForm=Fin	hacer	?-hacer-?			
jintibiy		VERB	VerbForm=Fin	hace	?-hacer-3SG.HUM			
nindamas		VERB	VerbForm=Fin	juntó	?-juntar-3SG.MSC			
jinaá		VERB	VerbForm=Fin	preparo	?-preparar-1SG			
nichi		VERB	VerbForm=Fin	vi	?-ver-1SG			
jinánuy		VERB	VerbForm=Fin	está lavando	?-lavar-3SG.HUM			
nánu		VERB	VerbForm=Fin	lavo	?-lavar-1SG			
chines		VERB	VerbForm=Fin	ayudó	?-ayudar-3SG.MSC			
jinikus		VERB	VerbForm=Fin	vende	?-vender-3SG.MSC			
kákud		VERB	VerbForm=Fin	haz	?-hacer-2SG			
jeé		VERB	VerbForm=Fin	como	?-comer-1SG			
chee		VERB	VerbForm=Fin	comer	?-comer-1SG			
nabeanud		VERB	VerbForm=Fin	recoger	?-recoger-2SG			
kuéd		VERB	VerbForm=Fin	vé	?-ir-2SG			
kued		VERB	VerbForm=Fin	vé	?-ir-2SG			
chinoy		VERB	VerbForm=Fin	se cayó	?-caerse-3SG.HUM			
kuyadud		VERB	VerbForm=Fin	duerme	?-dormir-2SG			
jitubii		VERB	VerbForm=Fin	ocupo	?-ocupar-1SG			
níchi		VERB	VerbForm=Fin	vi	?-ver-1SG			
jitubiy		VERB	VerbForm=Fin	ocupan	?-ocupar-3SG.HUM			
chinus		VERB	VerbForm=Fin	mató	?-matar-3SG.MSC			
kuned		VERB	VerbForm=Fin	ayuda	?-ayudar-2SG			
aa		VERB	VerbForm=Fin	canta	?-cantar-?			
jitúbiy		VERB	VerbForm=Fin	ocupa	?-ocupar-3SG.HUM			
joʼód		VERB	VerbForm=Fin	dices	?-decir-2SG			
katad		VERB	VerbForm=Fin	cantar	?-cantar-2SG			
kata		VERB	VerbForm=Fin	canta	?-cantar-?			
kanbakud		VERB	VerbForm=Fin	casarse	?-casarse-2SG			
kanbaku		VERB	VerbForm=Fin	casarse	?-casarse-1SG			
kamad		VERB	VerbForm=Fin	leer	?-leer-2SG			
kakioʼöd		VERB	VerbForm=Fin	quemar	?-quemar-2SG			
kaneé		VERB	VerbForm=Fin	cargar	?-cargar-?			
naka		VERB	VerbForm=Fin	encontré	?-encontrar-1SG			
tanod		VERB	VerbForm=Fin	sácale	?-sacar-2SG			
kakad		VERB	VerbForm=Fin	corta	?-cortar-2SG			
chinót		VERB	VerbForm=Fin	se cayó	?-caerse-3SG.AML			
guay		VERB	VerbForm=Fin	traer	?-traer-3SG.HUM			
jinay		VERB	VerbForm=Fin	lleva	?-llevar-?			
kunud		VERB	VerbForm=Fin	ponle	?-poner-2SG			
kúʼu		VERB	VerbForm=Fin	tomar	?-tomar-1SG			
kánud		VERB	VerbForm=Fin	corre	?-correr-2SG			
kanú		VERB	VerbForm=Fin	cargar	?-cargar-?			
kadinu		VERB	VerbForm=Fin	me enteraré	?-enterarse-1SG			
kadínu		VERB	VerbForm=Fin	almorzar	?-almorzar-1SG			
jinkuë		VERB	VerbForm=Fin	revuelve	?-revolver-?			
kachí		VERB	VerbForm=Fin	vomitar	?-vomitar-?			
káchi		VERB	VerbForm=Fin	hierva	?-hervir-?			
jindiyaa		VERB	VerbForm=Fin	asusta	?-asusta-?			
china		VERB	VerbForm=Fin	perdí	?-perder-1SG			
chiná		VERB	VerbForm=Fin	perdio	?-perder-3SG			
chiñá		VERB	VerbForm=Fin	se ensució	?-ensuciarse-?			
jeakuy		VERB	VerbForm=Fin	llorar	?-llorar-3SG.HUM			
jeakuy		VERB	VerbForm=Fin	tapar	?-tapar-3SG.HUM			
jeanu		VERB	VerbForm=Fin	correr	?-correr-?			
jidijü		VERB	VerbForm=Fin	estoy escribiendo	?-escribir-1SG			
jeakuta		VERB	VerbForm=Fin	está llorando	?-llorar-3SG.FEM			
jába		VERB	VerbForm=Fin	ladra	?-ladrar-?			
								
yeabean				mucho, muy				
baʼa		NOUN		casa				
kó		DET		ese				
eanu		VERB		gusto	?-gustar-1SG			
tï		NOUN		cabeza				
nochi		ADV	AdvType=Rel	donde				
kat		SCONJ		porque				
to				mucho				
too				mucho				
tii		NOUN		cabeza				
tii		ADV		dónde				
ntiñu		NOUN		trabajo				
yana		NOUN		perro				
yaá				está				
tuu		NOUN		piedra				
tikaa		NOUN		mi ropa				
tika		NOUN		ropa				
tiaka		NOUN		plátano				
ñoʼoo		NOUN		tierra, barro				
ñeé		NOUN		de él	base-POSS.3SG			
noʼo		NOUN		leña				
nata		NOUN		maíz				
it		NOUN		animal				
dami								
chinta		VERB	VerbForm=Fin	se mojó	?-mojarse-?			
